SHANGHAI SHENZHEN CSI 300 - MARKET VALUE,SHANGHAI SHENZHEN CSI 300 - PRICE HIGH,SHANGHAI SHENZHEN CSI 300 - PRICE LOW,SHANGHAI SHENZHEN CSI 300 - OPENING PRICE,SHANGHAI SHENZHEN CSI 300 - PRICE INDEX,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VALUE,SHANGHAI SHENZHEN CSI 300 - TURNOVER BY VOLUME
CHSS300(MV),CHSS300(PH),CHSS300(PL),CHSS300(PO),CHSS300(PI),CHSS300(VA),CHSS300(VO)
3290718,1294.82,1282.84,1284.82,1285.68,12215590,19092860
3304986,1292.4,1274.56,1284.83,1292.4,9416605,15081310
3305217,1301.75,1292.45,1293.5,1295.44,11586280,18557940
3368092,1325.89,1298.36,1298.46,1325.89,16640990,26183280
3371972,1349.2,1327,1328.61,1330.15,20558590,31766370
3376705,1336.39,1319.82,1328.37,1334.67,12994580,21139940
3377711,1342.79,1331.29,1335.59,1338.69,13932000,23188270
3338572,1340.13,1314.57,1339.31,1318.1,14832250,25033680
3375159,1337.24,1315.61,1315.71,1337.24,12470370,21095330
3384715,1345.71,1334.72,1339.59,1340.68,15959670,26868100
3400501,1346.37,1331.85,1341.4,1346.37,13799600,23153100
3379436,1348.28,1323.98,1348.17,1328.38,13055000,21886450
3393394,1334.73,1326.25,1327.55,1332.15,10157790,17230270
3407913,1338.75,1319.21,1331.89,1338.75,12839290,20947260
3455220,1350.53,1337.3,1338.81,1347.64,15787260,27301890
3443522,1356.86,1337.46,1348.85,1338.39,18701740,32821180
3442483,1345.59,1323.8,1338.35,1338.28,13679520,22217280
3510827,1362.4,1338.14,1338.41,1362.32,19594620,36057140
3528532,1375.58,1362.14,1367.64,1375.56,18187620,31454850
3531349,1385.62,1371.43,1377.72,1378.31,15942860,26648290
3521592,1381.81,1365.72,1376.12,1378.46,14017240,23445870
3539011,1390.62,1378.46,1378.46,1387.37,16026130,26094110
3506109,1393.53,1373.94,1389.87,1374.85,18173170,28265040
3494970,1383.77,1361.61,1372.81,1372.4,15493800,24584770
3470315,1371.58,1351.18,1370.86,1357.65,11953760,19703260
3495356,1371.12,1355.39,1357.27,1371.12,10897810,17580320
3519587,1389.55,1369.4,1372.13,1387,14070850,21687790
3547163,1405.56,1389.04,1389.07,1403.26,17347630,27166740
3547163,,,,1403.26,,
3547163,,,,1403.26,,
3547163,,,,1403.26,,
3547163,,,,1403.26,,
3547163,,,,1403.26,,
3620333,1436.07,1418.21,1420.36,1436.07,23762240,39191860
3513103,1443.5,1426.97,1437.69,1437.24,24024740,38400480
3519631,1440.21,1421.81,1436.68,1435.91,18592000,31617980
3504840,1438.8,1423.63,1436.2,1426.5,21048260,37956220
3515621,1436.1,1420.96,1424.3,1430.88,16770800,28295150
3483951,1434.53,1415.49,1432.31,1418.52,17341280,28492180
3468883,1426.29,1410.67,1416.95,1414.45,15151120,24224400
3515699,1437.59,1413.55,1413.91,1437.59,15015410,24290300
3520415,1445.62,1433.94,1438.84,1439.38,14441180,23820260
3494577,1447.95,1436.65,1440.67,1440.18,16526650,26560130
3443617,1444.91,1403.01,1439.54,1408.71,17710770,28950370
3530078,1440.05,1408.58,1408.58,1440.05,16151230,26189970
3542987,1459.73,1434.81,1443.11,1446.82,21177140,32204880
3637256,1457.37,1435.28,1447.09,1456.09,21300290,38466350
3600068,1460.45,1433.35,1455.98,1439.05,21496180,37379300
3608239,1446.24,1428.33,1436.66,1446.24,19874450,35320450
3674267,1464.48,1447.05,1447.05,1464.47,21463620,36952270
3720002,1479.41,1461.32,1465.67,1479.41,23518420,38926910
3716098,1480.55,1464.6,1480.55,1479.66,24757950,42373140
3736365,1497.47,1480.77,1481.58,1488.29,23319280,39372020
3799880,1507.97,1472,1477.44,1507.89,25221660,42033500
3812170,1516.8,1491.33,1512.65,1516.1,27894540,43038320
